學校,科系,項目,說明,指定項目甄試日期
國立嘉義大學,科技管理學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,--
國立嘉義大學,資訊管理學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、K、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,114.5.19
國立嘉義大學,資訊管理學系(資安組),修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、K、N)、學習歷程自述(O、P、Q)、其他(R.資安相關證明文件) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.學習歷程自述請著重資訊安全或資訊科技領域，呈現相關興趣、表現或經驗。
2.資安相關證明文件包括資安檢測、資安競賽、APCS成績或學習成果表現。",--
國立嘉義大學,行銷與觀光管理學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、I、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,--
國立嘉義大學,財務金融學系,修課紀錄(A)、課程學習成果(E)、多元表現(F、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,--
國立嘉義大學,財務金融學系(青年儲蓄帳戶組),修課紀錄(A)、課程學習成果(E)、多元表現(F、L、N)、學習歷程自述(O、P、Q)、其他(R.體驗學習報告書)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,體驗學習報告書佔甄選總成績60%;修課紀錄(A)、課程學習成果(E)、多元表現(F、L、N）、學習歷程自述(O、P、Q)佔甄選總成績40%。,--
國立嘉義大學,農藝學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、H、K、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,--
國立嘉義大學,園藝學系,修課紀錄(A)、課程學習成果(C、D)、多元表現(F、G、J、L、N)、學習歷程自述(O、P、Q)、其他(R.自傳)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.自傳格式請於114年3月中至本系網頁/最新消息下載 3.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 4.書面審查準備指引路徑查詢：本系首頁→招生資訊→書面審查準備指引,--
國立嘉義大學,森林暨自然資源學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,114.5.19
國立嘉義大學,木質材料與設計學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、H、J、N)、學習歷程自述(P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限。2.學生並非必須具備以上所有項次之資料，學系將以所提供資料綜合評量，而非以單一項目作為錄取標準。3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引。,--
國立嘉義大學,動物科學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、I、J、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限2.學生並非必須具備以上所有項次之資料，學系將以所提供資料綜合評量，而非以單一項目作為錄取標準3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,--
國立嘉義大學,農業生物科技學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,114.5.19
國立嘉義大學,景觀學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、J、K、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.所提資料以高中3年為限
2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準
3.書面審查資料指引路徑查詢：本校首頁->招生資訊->書面審查準備指引",114.5.19
國立嘉義大學,植物醫學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限。2.學生並非必須具備以上所有項次資料，學系將以所提資料綜合評量，而非以單一項目作為錄取標準。3.書面審查準備指引路徑查詢：本校首頁->招生資訊->書面審查準備指引。4.本系電話:05-2717450,--
國立嘉義大學,電子物理學系,修課紀錄(A)、課程學習成果(D)、多元表現(H、J、L、N)、學習歷程自述(O、P、Q)、其他(R.校內外有利審查項目)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,--
國立嘉義大學,應用化學系,修課紀錄(A)、課程學習成果(D)、多元表現(F、H、J、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,--
國立嘉義大學,應用數學系,修課紀錄(A)、多元表現(F、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限。 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準。 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引。,114.5.19
國立嘉義大學,資訊工程學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、M、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限。2.個人申請表格式等相關資訊請於3月中至本系網頁/招生專區或最新消息下載。3. 學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準。4.書面審 查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引。,114.5.19
國立嘉義大學,資訊工程學系(APCS組),無資料,無資料,114.5.19
國立嘉義大學,生物機電工程學系,修課紀錄(A)、課程學習成果(D)、多元表現(F、J、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所提供資料綜合評量，而非單一項目作為錄取標準 3.書面審查準備指引路徑查詢:本校首頁->招生資訊->書面審查準備指引,--
國立嘉義大學,土木與水資源工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,--
國立嘉義大學,電機工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,114.5.19
國立嘉義大學,機械與能源工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,114.5.19
國立嘉義大學,食品科學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限。2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準。3.書面審查準則指引路徑查詢：本校首頁→招生資訊→書面審查準則指引。,114.5.19
國立嘉義大學,水生生物科學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、K、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限。 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準。 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引。,114.5.19
國立嘉義大學,生物資源學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)、其他(R.自傳、S.個人簡歷表) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.自傳及個人簡歷表格式請於114年3月中旬至本系網頁/招生資訊下載 3.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 4.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,114.5.19
國立嘉義大學,生化科技學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項 目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,114.5.19
國立嘉義大學,微生物免疫與生物藥學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、K、N)、學習歷程自述(O、P、Q)、其他(R.個人資料表)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.所提資料以高中3年為限 2.學生並非必須具備以上所有項次之資料，學系將以所供資料綜合評量，而非以單一項目作為錄取標準 3.書面審查準備指引路徑查詢：本校首頁→招生資訊→書面審查準備指引,114.5.19
國立嘉義大學,獸醫學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.審查資料係以所供資料進行綜合評量，並非必須具備以上所有項次之資料。
2.書面審查準備指引路徑查詢：本校首頁/招生資訊/書面審查準備指引。",--
國立嘉義大學,音樂學系(A組),無資料,無資料,--
國立嘉義大學,音樂學系(B組),無資料,無資料,114.5.19
國立嘉義大學,視覺藝術學系,無資料,無資料,114.5.19
國立嘉義大學,體育與健康休閒學系,無資料,無資料,114.5.19
國立高雄大學,西洋語文學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,多元表現：英語能力檢定證明(GEPT、TOEFL(iBT)、TOEIC、IELTS)、語言或其他競賽等。,114.5.23至114.5.24
國立高雄大學,運動健康與休閒學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、I、L、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
國立高雄大學,東亞語文學系日語組,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、H、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
國立高雄大學,東亞語文學系韓語組,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、H、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
國立高雄大學,東亞語文學系越語組,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、H、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
國立高雄大學,法律學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、I、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
國立高雄大學,政治法律學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、H、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17至114.5.18
國立高雄大學,財經法律學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、J、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
國立高雄大學,應用經濟學系,修課紀錄(A)、課程學習成果(B、E)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,無,114.5.17至114.5.18
國立高雄大學,亞太工商管理學系企業管理組,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、L、M、N)、學習歷程自述(O、P、Q)、其他(R.學習外語的證明、S.學習電腦程式的經驗) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.23至114.5.24
國立高雄大學,亞太工商管理學系工業管理組,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、L、M、N)、學習歷程自述(O、P、Q)、其他(R.學習外語的證明、S.學習電腦程式的經驗) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.23至114.5.24
國立高雄大學,資訊管理學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
國立高雄大學,資訊管理學系(資安組),無資料,無資料,114.5.17
國立高雄大學,財務金融學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
國立高雄大學,財務金融學系(青年儲蓄帳戶組),修課紀錄(A)、課程學習成果(B)、多元表現(F、G、L、M、N)、學習歷程自述(O、P、Q)、其他(R.體驗學習報告書)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,「體驗學習報告書」佔甄選總成績60％。,114.5.16至114.5.17
國立高雄大學,應用數學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.課程學習成果：可放入數、自然科學或科技領域等相關課程學習成果或書面報告。2.多元表現：可放入高中 自主學習計畫與成果、競賽表現、檢定證照、特殊優良表現證明。3.多元表現綜整心得：請依本系提供的準備指引撰寫。準備指引請至本系網頁「招生專區」下載。4.各項繳交資料限高中時期。,114.5.21114.5.24
國立高雄大學,應用化學系,修課紀錄(A)、課程學習成果(D)、多元表現(F、G、H、L、N)、學習歷程自述(Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,可提供高中在校具體表現事蹟,114.5.16至114.5.17
國立高雄大學,應用物理學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、H、J、K、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,依相關規定辦理。,114.5.24
國立高雄大學,生命科學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,無,114.5.16至114.5.17
國立高雄大學,電機工程學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、N)、學習歷程自述(O、P、Q)、其他(R.電資領域相關學習作品) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查資料準備指引請參閱高雄大學電機系網頁https://ee.nuk.edu.tw/。,114.5.21
國立高雄大學,土木與環境工程學系土木工程組,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.思考及解決問題之經驗、S.其他有利審查項目) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.23
國立高雄大學,土木與環境工程學系環境工程組,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.思考及解決問題之經驗、S.其他有利審查項目) ※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.23
國立高雄大學,化學工程及材料工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、H、J、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,無,114.5.16
國立高雄大學,資訊工程學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.21
國立高雄大學,資訊工程學系(資安組),修課紀錄(A)、課程學習成果(B、D)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"資料審查請提供可茲證明於資安領域具有特殊才能之相關資料: 若高中學習期間有參加大學程式設計先修檢測(APCS)、資安競賽等活動或資安相關學習經歷,請上傳至:多元表現。",114.5.21
國立高雄大學,建築學系,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,請同學在「Q」項目中自由論述在建築、空間、永續發展的個人獨特看法或主見，可彰顯出自己的特色為主，以及個人對於未來的學習計畫。,114.5.17
國立高雄大學,工藝與創意設計學系,無資料,無資料,114.5.23至114.5.24
慈濟大學,醫學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,相關招生資訊請參閱本系https://med.tcu.edu.tw/及本校招生專區網頁，本校不另行寄發紙本資料。,114.5.17
慈濟大學,醫學系(公費生),修課紀錄(A)、課程學習成果(B)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,相關招生資訊請參閱本系https://med.tcu.edu.tw及本校招生專區網頁，本校不另行寄發紙本資料。,114.5.17
慈濟大學,藥學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、I、K、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.24
慈濟大學,醫學檢驗生物技術學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、H、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,審查資料請提供高中期間。,114.5.16至114.5.17
慈濟大學,物理治療學系,修課紀錄(A)、課程學習成果(B)、多元表現(G、I、J、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.18
慈濟大學,公共衛生學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、K、L、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17至114.5.18
慈濟大學,分子生物暨人類遺傳學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、J、L、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,競賽表現及特殊優良表現證明可含其他有助審查之資料(如參與科展、大學先修生物相關課程等),114.5.17
慈濟大學,醫學影像暨放射科學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、I、J、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
慈濟大學,護理學系,修課紀錄(A)、課程學習成果(B、D)、多元表現(F、G、I、N)、學習歷程自述(O、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,多元表現：可檢附學生認為有利的其他審查資料,114.5.17
慈濟大學,醫學資訊學系,修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、K、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17至114.5.18
慈濟大學,生物醫學暨工程學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、J、K、M、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.16至114.5.17
慈濟大學,傳播學系,修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、J、K、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,多元表現的「非修課紀錄之成果作品」項下有多媒體作品需呈現，請上傳至您個人媒體平台(雲端、個人部落格、任何社交媒體平台)，並將作品網址或雲端連結註明於「非修課紀錄之成果作品」說明中，方便評審委員審查。,114.5.17
慈濟大學,兒童發展與家庭教育學系,修課紀錄(A)、課程學習成果(B)、多元表現(I、M、N)、學習歷程自述(O、P)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
慈濟大學,社會工作學系,修課紀錄(A)、課程學習成果(E)、多元表現(I、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
慈濟大學,人類發展與心理學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),114.5.17
慈濟大學,東方語文學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(G、H、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,上述各項資料擇優送審，請量力而為，無須刻意擴增份量。以凸顯個人特色、足以證明自身學習能力為主。,114.5.17至114.5.18
慈濟大學,外國語文學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
慈濟大學,資訊科技與管理學系,修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
慈濟大學,醫務暨健康管理學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、M、N)、學習歷程自述(P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
慈濟大學,經營管理學系,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、L、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
慈濟大學,國際服務產業管理學士學位學程,修課紀錄(A)、課程學習成果(B)、多元表現(F、G、I、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,(無),--
慈濟大學,翔飛A組,修課紀錄(A)、課程學習成果(B)、多元表現(I、N)、學習歷程自述(O、P、Q)、其他(R.經濟弱勢狀況證明)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,1.學習歷程自述：含國高中期間曾經遭遇的逆境、努力向上表現及求學動機等。2.經濟弱勢狀況證明：低收入、中低收入、特殊境遇家庭等證明文件正本或高中期間弱勢助學紀錄，無須上傳至甄選會網站，敬請於114.5.7前採限時掛號郵寄至本校。3.相關招生資訊請至本校網頁查詢。,--
臺北醫學大學,醫學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.準備內容請至本校教務處招生組最新消息參閱本系甄試審查資料準備指引，並下載「醫學系個人簡歷」表格，完成填寫後併入「學習歷程自述-Q.未來學習計畫與生涯規劃」之最末頁(限A4一頁)。
2.繳交資料上傳截止時間：114年5月7日下午9時止。",114.5.22至114.5.25
臺北醫學大學,醫學系(公費生),修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、K、M、N)、學習歷程自述(O、P、Q)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.準備內容請至本校教務處招生組最新消息參閱本系甄試審查資料準備指引，並下載「醫學系個人簡歷」表格，完成填寫後併入「學習歷程自述-Q.未來學習計畫與生涯規劃」之最末頁(限A4一頁)。
2.繳交資料上傳截止時間：114年5月7日下午9時止。",114.5.19
臺北醫學大學,牙醫學系,修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、I、L、M、N)、學習歷程自述(O、P、Q)、其他(R.其他有利資料)※項目內容請參照本簡章「貳、分則」乙、審查資料項目內容對照表(第20頁)。,"1.準備內容請至本校教務處招生組最新消息參閱本系甄試審查資料準備指引。
2.繳交資料上傳截止時間：114年5月7日下午9時止。",114.5.22至114.5.24
